ts_recv,open,high,low,close,trades,volume
2023-04-14 14:45:00+00:00,36.2,36.34,36.2,36.34,8,95
2023-04-14 15:00:00+00:00,36.34,36.66,36.31,36.47,13,110
2023-04-18 13:45:00+00:00,37.22,37.22,37.22,37.22,1,1
2023-04-18 14:15:00+00:00,37.58,37.58,37.58,37.58,3,80
2023-04-18 14:45:00+00:00,37.59,37.59,37.59,37.59,5,40
2023-04-18 15:00:00+00:00,37.15,37.21,36.8,37.21,4,8
2023-04-18 15:15:00+00:00,37.21,37.21,37.21,37.21,2,8
2023-04-18 15:45:00+00:00,37.21,37.21,37.21,37.21,1,1
2023-04-18 16:00:00+00:00,37.21,37.21,37.21,37.21,1,2
2023-04-20 14:45:00+00:00,37.0,37.0,36.99,36.99,2,29
2023-04-20 15:15:00+00:00,37.01,37.01,37.01,37.01,1,6
2023-04-24 14:30:00+00:00,37.49,37.49,37.49,37.49,1,1
2023-04-24 15:00:00+00:00,37.04,37.04,37.04,37.04,1,1
2023-04-24 15:15:00+00:00,37.21,37.21,37.21,37.21,14,75
2023-04-24 15:45:00+00:00,37.66,37.66,37.66,37.66,1,3
2023-04-26 14:30:00+00:00,37.27,37.27,37.27,37.27,2,8
2023-04-26 15:30:00+00:00,37.39,37.39,37.39,37.39,1,7
2023-04-26 15:45:00+00:00,37.91,37.91,37.85,37.89,4,9
2023-04-27 14:00:00+00:00,37.75,37.88,37.75,37.88,3,17
2023-04-27 16:00:00+00:00,37.35,37.35,37.35,37.35,1,1
2023-04-28 13:45:00+00:00,37.35,37.8,37.35,37.8,3,13
2023-04-28 14:00:00+00:00,37.5,37.5,37.5,37.5,1,4
2023-05-01 14:15:00+00:00,37.55,37.55,37.55,37.55,1,1
2023-05-02 13:30:00+00:00,37.34,37.73,37.34,37.73,3,3
2023-05-02 13:45:00+00:00,37.38,37.38,37.38,37.38,1,1
2023-05-02 14:00:00+00:00,37.36,37.36,37.36,37.36,2,94
2023-05-02 14:15:00+00:00,37.39,37.67,37.25,37.29,5,29
2023-05-02 14:30:00+00:00,37.28,37.49,37.24,37.28,5,10
2023-05-02 14:45:00+00:00,37.3,37.3,37.3,37.3,2,2
2023-05-02 15:15:00+00:00,37.1,37.19,37.1,37.1,5,5
2023-05-02 15:45:00+00:00,37.2,37.35,37.15,37.15,7,7
2023-05-02 16:00:00+00:00,36.99,37.5,36.84,36.84,10,19
2023-05-03 13:30:00+00:00,37.23,37.23,37.23,37.23,1,1
2023-05-03 13:45:00+00:00,37.37,37.37,37.37,37.37,1,1
2023-05-03 14:00:00+00:00,37.75,37.75,37.75,37.75,1,1
2023-05-03 14:15:00+00:00,37.3,37.3,37.3,37.3,1,2
2023-05-03 15:15:00+00:00,37.6,37.6,37.13,37.13,3,16
2023-05-04 14:00:00+00:00,36.48,36.78,36.48,36.52,3,94
2023-05-04 14:15:00+00:00,36.52,37.0,36.5,36.5,11,103
2023-05-04 14:30:00+00:00,36.51,37.45,36.51,37.45,2,2
2023-05-04 14:45:00+00:00,36.72,36.72,36.72,36.72,1,7
2023-05-04 15:00:00+00:00,36.95,36.95,36.66,36.66,4,20
2023-05-04 15:15:00+00:00,37.21,37.21,37.06,37.06,3,3
2023-05-04 15:30:00+00:00,36.91,36.91,36.91,36.91,2,2
2023-05-04 15:45:00+00:00,36.95,36.95,36.95,36.95,1,2
2023-05-05 13:30:00+00:00,36.84,36.84,36.84,36.84,2,2
2023-05-05 13:45:00+00:00,37.49,37.49,37.49,37.49,1,7
2023-05-05 14:00:00+00:00,37.39,37.48,37.39,37.48,4,7
2023-05-05 14:45:00+00:00,37.48,37.48,37.44,37.44,2,9
